match_id,player_id,placement,mode,length,traits,units
27,310,4,Ranked,00:32:45,"['3 Poison', '1 Alchemist', '4 Glacial', '3 Berserker', '2 Electric', '2 Ranger', '2 Warden']","['Ornn', 'Braum', 'Volibear', 'Ezreal', 'Dr. Mundo', 'Olaf', 'Twitch', 'Singed']"
28,310,1,Ranked,00:32:36,"['3 Poison', '1 Alchemist', '4 Glacial', '3 Electric', '3 Berserker', '2 Ranger', '2 Warden']","['Ornn', 'Braum', 'Volibear', 'Dr. Mundo', 'Ezreal', 'Olaf', 'Twitch', 'Singed', 'Zed']"
29,310,5,Ranked,00:32:35,"['2 Mountain', '4 Glacial', '3 Electric', '3 Berserker', '3 Warden']","['Ornn', 'Braum', 'Volibear', 'Ezreal', 'Qiyana', 'Sion', 'Malphite', 'Olaf', 'Zed']"
30,310,4,Ranked,00:29:30,"['6 Shadow', '3 Inferno', '2 Ranger']","['Malzahar', 'Senna', 'Varus', 'Kindred', 'Qiyana', 'Sion', 'Veigar', 'Master Yi']"
31,1213,3,Ranked,00:30:39,"['5 Ocean', '3 Mage', '3 Warden', '2 Mystic']","['Vladimir', 'Syndra', 'Thresh', 'Nautilus', 'Brand', 'Janna', 'Amumu', 'Nami']"
32,1213,4,Ranked,00:28:17,"['3 Poison', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden']","[""Kog'Maw"", 'Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Taric']"
33,1213,2,Ranked,00:34:44,"['6 Mage', '2 Mountain', '4 Ocean', '3 Warden', '2 Mystic']","['Taliyah', 'Vladimir', 'LeBlanc', 'Syndra', 'Nautilus', 'Brand', 'Janna', 'Malphite', 'Nami']"
34,1213,6,Ranked,00:26:57,"['1 Alchemist', '4 Ocean', '4 Warden', '3 Mage']","['Vladimir', 'Syndra', 'Thresh', 'Braum', 'Nautilus', 'Malphite', 'Brand', 'Singed']"
35,1213,3,Ranked,00:32:44,"['2 Lunar', '3 Assassin', '3 Summoner', '2 Desert', '2 Mystic', '2 Warden']","['Leona', 'Karma', 'Azir', 'Khazix', 'Malphite', 'Yorick', 'Zed', 'Nami']"
36,1213,3,Ranked,00:32:41,"['2 Mountain', '1 Alchemist', '4 Ocean', '4 Warden', '3 Mage', '2 Mystic']","['Taliyah', 'Vladimir', 'Thresh', 'Nautilus', 'Janna', 'Brand', 'Malphite', 'Nami', 'Singed']"
37,1213,1,Ranked,00:32:19,"['1 Alchemist', '4 Warden', '3 Electric', '2 Mystic', '2 Glacial']","['Ornn', 'Leona', 'Braum', 'Volibear', 'Soraka', 'Malphite', 'Nami', 'Singed', 'Zed']"
38,1213,8,Ranked,00:21:47,"['2 Lunar', '3 Electric', '3 Glacial', '3 Warden']","['Leona', 'Ornn', 'Volibear', 'Braum', 'Karma', 'Ezreal', 'Zed']"
39,1213,1,Ranked,00:34:40,"['4 Electric', '3 Poison', '1 Alchemist', '1 Avatar', '2 Mystic', '2 Glacial', '2 Ranger']","['Volibear', 'Dr. Mundo', 'Ezreal', 'Karma', 'Twitch', 'Nami', 'Singed', 'Zed', 'Lux']"
40,1213,6,Ranked,00:27:32,"['6 Shadow', '2 Mystic']","['Malzahar', 'Senna', 'Karma', 'Kindred', 'Sion', 'Veigar', 'Master Yi', 'Master Yi']"
41,2116,1,Ranked,00:32:00,"['6 Inferno', '3 Shadow', '3 Summoner', '2 Ranger']","['Zyra', 'Malzahar', 'Varus', 'Kindred', 'Sion', 'Brand', 'Annie', 'Amumu']"
42,2116,7,Ranked,00:25:15,"['6 Berserker', '2 Desert', '2 Glacial']","['Renekton', 'Jax', 'Volibear', 'Dr. Mundo', 'Sion', 'Khazix', 'Olaf']"
